bird_id,bird_name,left_tag,right_tag,phenotype,sex,mass_g,birth_date
1,Cow,,lilac,wt,male,18.4,22/05/2018
2,Sheep,,blue,bc,male,20.8,01/06/2018
3,Magpie,,,wt,male,,07/02/2020
4,Ptarmigan,olive,,cfw,female,18.1,07/02/2020
5,Mango,orange,,bc,female,21.1,01/05/2020
6,Super mango ,blue,,wt,female,16.7,11/10/2020
7,Left,,grey,wt,male,14.7,11/10/2020
8,Right,,blue,cfw,female,16.7,11/06/2021
9,Entrance,white,,cfw,female,19.6,18/07/2021
10,Penguin,,black black,,male,19.8,13/09/2021
11,Dinner,,olive olive,pied,female,22.3,13/09/2021
12,Panda,,,fawn,female,20,23/03/2022
13,Oreo,turquoise,,bc,male,20.3,15/04/2022
14,Badger,,,bc,male,20.3,16/04/2022
15,Albatross,light pink,,bc,male,21.3,17/04/2022
16,Lemur,blue,grey,lb,male,17.3,15/05/2022
17,Dalmatian,,pink,fawn,female,18.4,03/06/2022
18,,,purple,cfw,female,20.6,05/06/2022
19,Osprey,green,black,wt,male,21.4,06/06/2022
20,,,,cfw,male,21.4,09/06/2022
21,Adelie,yellow,black,wt,female,20.3,13/06/2022
22,Zebra,lilac,lime,wt,male,19.1,13/06/2022
23,Tiramisu,lilac,,fawn,female,19.6,15/06/2022
24,Kingsnakes,yellow,,wt,male,20.7,03/07/2022
25,PiedBat,white,,wt,male,18.1,10/07/2022
26,She-hulk,lilac,,fawn,female,25.9,11/07/2022
27,Eider,blue,,brown cheeks,male,23.4,12/07/2022
28,Colobus,lilac,,wt,male,17,18/07/2022
29,Spadefish,green,green,wt,male,17.1,19/07/2022
30,Guinness,,yellow,cfw,female,16.8,01/01/2022
31,,,purple,cfw,male,16.8,16/05/2023
32,Moth-Man I,lime,,pied,male,18.8,16/05/2023
33,Moth-Man II,brown,,pied,male,19.3,17/05/2023
34,Orca,,turquoise,wt,female,17.8,18/05/2023
35,,,brown,cfw,female,16.7,18/05/2023
36,Feathers McGraw,purple,,wt,male,17.6,26/05/2023
37,Anthony Eden,,light pink,cfw,female,16.4,26/05/2023
38,Mulan,navy,light pink,wt,male,15.6,27/05/2023
39,Collie,brown,lime,wt,female,18.3,07/06/2023
40,Cottonmouth,turquoise,lime,wt,male,18.3,07/06/2023
41,Koala,purple,lime,wt,female,15.8,07/06/2023
42,Tapir,light pink,lime,wt,female,18.8,08/06/2023
43,,brown,light pink,wt,male,17.1,11/06/2023
44,Polar,turquoise,,cfw,female,17.4,14/06/2023
45,Beluga,navy,navy,cfw,male,14.7,15/06/2023
46,,purple,navy,fawn,female,17.7,15/06/2023
47,Swan,brown,brown,cfw,female,16.7,15/06/2023
48,Raccoon,purple,brown,wt,,19.6,15/06/2023
49,Huskey,turquoise,navy,fawn,female,17.3,16/06/2023
50,Skunk,navy,black,wt,male,24.7,22/06/2023
51,Puffin,turquoise,black,wt,male,,26/06/2023
52,Trumpet,lime,blue,cfw,male,20.9,26/06/2023
53,Porpose,purple,orange,wt,female,,02/07/2023
54,,light pink,orange,wt,male,,02/07/2023
55,,turquoise,grey,cfw,female,,02/07/2023
56,,brown,orange,wt,female,,03/07/2023
57,,pink,grey,wt,male,,03/07/2023
58,,purple,turquoise,cfw,male,,18/07/2023
59,,brown,turquoise,pied,female,,24/07/2023
60,,,,,,,
61,,,,,,,
62,,,,,,,
