entrance_epoch_time,datetime,left_ring,right_ring,bird_id,Verify?,photo_path
1743499287.66199,2025-04-01 10:21:27.66199,NA,blue,8,NA,GX101858-00.08.04.542
1743499552.12038,2025-04-01 10:25:52.120379,lilac,lime,22,NA,GX111858-00.04.04.803
1743499847.46595,2025-04-01 10:30:47.465954,navy,black,50,NA,GX121858-00.00.27.094
1743517266.25566,2025-04-01 15:21:06.255665,NA,brown,NA,"? cannot see left leg clearly 35, 47 or 48",GX011859-00.04.41.473
1743517269.9856,2025-04-01 15:21:09.985595,NA,NA,NA,cannot see left leg,GX011859-00.04.46.586
1743519754.38617,2025-04-01 16:02:34.386169,brown,NA,NA,? cannot see right leg,GX061859-00.03.33.380
1743519873.40492,2025-04-01 16:04:33.404924,lilac,NA,28,NA,GX061859-00.04.41.206
1743519886.61088,2025-04-01 16:04:46.610881,NA,pink,17,NA,GX061859-00.05.28.595
1743586808.6403,2025-04-02 10:40:08.6403,lilac,NA,28,NA,GX011860-00.06.00.752
1743586991.79326,2025-04-02 10:43:11.793263,lilac,NA,28,NA,GX021860-00.00.30.347
1743588202.26681,2025-04-02 11:03:22.266814,NA,NA,NA,? three possible birds. See GX041860 03:26:00,NA
1743588206.59386,2025-04-02 11:03:26.593859,NA,NA,NA,? three possible birds. See GX041860 03:26:00,NA
1743589573.19133,2025-04-02 11:26:13.191328,lilac,NA,28,?22,GX071860-00.00.50.208
1743589676.19793,2025-04-02 11:27:56.197929,yellow,NA,24,NA,GX071860-00.02.29.808
1743589691.71066,2025-04-02 11:28:11.710664,NA,NA,NA,? cannot see legs,GX071860-00.02.33.078
1743590134.56035,2025-04-02 11:35:34.560346,lilac,NA,28,NA,GX081860-00.01.38.991
1743590349.12819,2025-04-02 11:39:09.128187,turquoise,lime,40,?several birds go through in succession. This was the first bird,GX081860-00.05.11.261
1743591492.62191,2025-04-02 11:58:12.621911,orange,blue/turquoise,NA,?tags do not align with options finch data file,GX101860-00.07.08.328
1743591614.71652,2025-04-02 12:00:14.716516,NA,lime,52,NA,GX111860-00.00.35.894
1743591747.32942,2025-04-02 12:02:27.329422,NA,NA,NA,? 1 and 12 both walk off screen at the same time,GX111860-00.02.40.510 GX111860-00.02.44.214
1743591840.8109,2025-04-02 12:04:00.810903,NA,blue,2,NA,GX111860-00.04.25.999
1743591845.12001,2025-04-02 12:04:05.120005,lilac,NA,28,NA,GX111860-00.04.31.972
1743592004.14038,2025-04-02 12:06:44.140383,NA,NA,NA,"?only one leg visible. Male wt or bc. 1, 2, 3, 7 or 14",GX111860-00.07.10.714
1743592935.66908,2025-04-02 12:22:15.669078,purple,NA,41,NA,GX131860-00.05.28.094
1743593048.67902,2025-04-02 12:24:08.679023,turquoise,lime,40,NA,GX131860-00.07.28.565
1743593156.01857,2025-04-02 12:25:56.018567,lilac,NA,28,NA,GX141860-00.00.45.387
1743593696.58026,2025-04-02 12:34:56.580261,NA,NA,NA,"?25, unknown (left orange, right turquoise/blue, tags do not align with options finch data file) several cross at the same time",GX151860-00.01.10.128 GX151860-00.01.12.848
1743593701.16971,2025-04-02 12:35:01.169713,blue,lime,40,NA,GX151860-00.01.15.651
1743594196.33492,2025-04-02 12:43:16.334923,NA,lilac,1,NA,GX161860-00.00.52.803
1743594199.41192,2025-04-02 12:43:19.411917,NA,NA,NA,? cannot see legs (top right of photo),GX161860-00.00.56.848
1743594230.3001,2025-04-02 12:43:50.300101,NA,NA,NA,? cannot see legs (top right of photo),GX161860-00.01.25.577
1743594430.46083,2025-04-02 12:47:10.460831,turquoise,navy,49,NA,GX161860-00.04.30.403
1743594809.59402,2025-04-02 12:53:29.594017,NA,NA,NA,? cannot see legs (top left of photo),GX171860-00.02.39.985
1743594810.17664,2025-04-02 12:53:30.176639,lime,blue,52,NA,GX171860-00.02.41.995
1743595706.62576,2025-04-02 13:08:26.625761,NA,blue,2,NA,GX191860-00.00.32.591
1743595818.1813,2025-04-02 13:10:18.181302,NA,NA,34,NA,GX191860-00.02.11.089
1743595958.77001,2025-04-02 13:12:38.770008,lilac,lime,22,? 22 or unknown (no legs in frame). Photo shows both birds,GX191860-00.04.42.249
1743596269.19418,2025-04-02 13:17:49.194181,NA,brown,35,NA,GX201860-00.01.14.600
1743596329.19564,2025-04-02 13:18:49.195641,NA,NA,NA,? A few options as a couple of flights not recorded around the same time. Unknown cannot see legs/ left blue/turquoise possible 44 or 55 /or 4 (left green),GX201860-00.01.23.041 GX201860-00.01.26.820 GX201860-00.01.42.244
1743596504.03822,2025-04-02 13:21:44.038219,NA,turquoise,34,Leaves tunnel around 3:16,GX201860-00.02.59.946
1743596536.46165,2025-04-02 13:22:16.461649,navy,black,50,NA,GX201860-00.05.15.106
1743597011.22175,2025-04-02 13:30:11.221753,navy,black,50,NA,GX201860-00.05.48.515
1743597332.98502,2025-04-02 13:35:32.985019,purple,turquoise,58,NA,GX211860-00.00.13.897
1743597437.36356,2025-04-02 13:37:17.363556,turquoise,lime,40,NA,GX211860-00.04.50.957
1743598443.3177,2025-04-02 13:54:03.317703,lilac,lime,22,NA,GX241860-00.03.39.211
1743598708.11018,2025-04-02 13:58:28.110177,NA,NA,NA,NA,NA
1743599039.28663,2025-04-02 14:03:59.286632,lilac,NA,28,NA,GX251860-00.04.50.941
1743599188.75365,2025-04-02 14:06:28.753653,NA,pink,NA,?17 or 37,GX251860-00.07.15.035
1743599277.95807,2025-04-02 14:07:57.958074,lilac,lime,22,NA,GX261860-00.00.16.600
1743599372.45572,2025-04-02 14:09:32.45572,orange,white,NA,? unsure of timings. Either unknown (left orange right white cannot find on the id)/39 (left brown right lime)/56 (left brown right orange),GX261860-00.01.44.746 GX261860-00.02.05.083 GX261860-00.02.07.202
1743599547.71214,2025-04-02 14:12:27.712143,NA,lilac/purple,NA,?1/18/31,GX261860-00.04.59.099
1743599616.03894,2025-04-02 14:13:36.038938,lime,NA,NA,can’t see right leg. 32 (Moth-Man I) or 52,GX261860-00.05.53.245
1743600342.63496,2025-04-02 14:25:42.634957,NA,lilac,1,NA,GX281860-00.00.53.370
1743600667.29264,2025-04-02 14:31:07.292639,NA,pink,17,NA,GX281860-00.06.20.130
1743601345.39352,2025-04-02 14:42:25.393517,NA,NA,NA,?cannot see. Tail in bottom left,GX301860-00.00.26.068
1743601375.53784,2025-04-02 14:42:55.537837,NA,blue,NA,?2 or 8,GX301860-00.01.00.794
1743601408.17665,2025-04-02 14:43:28.176648,NA,NA,NA,?cannot see feat. Bottom left,GX301860-00.01.35.762
1743602158.96132,2025-04-02 14:55:58.961323,brown,orange,56,NA,GX311860-00.05.35.752
1743602391.45073,2025-04-02 14:59:51.450727,yellow,NA,24,NA,GX321860-00.00.55.497
1743602613.4866,2025-04-02 15:03:33.4866,blue,grey ,16,NA,GX321860-00.04.34.749
1743602618.44306,2025-04-02 15:03:38.443058,NA,brown,35,NA,GX321860-00.04.30.620
1743602677.92677,2025-04-02 15:04:37.926767,brown,orange,56,NA,GX321860-00.05.22.489
1743603267.55791,2025-04-02 15:14:27.557906,NA,NA,NA,NA,NA
1743603519.08157,2025-04-02 15:18:39.081567,NA,blue,2,NA,GX341860-00.02.14.735
1743604569.86025,2025-04-02 15:36:09.860251,turquoise,lime,40,NA,GX361860-00.02.52.064
1743604589.93552,2025-04-02 15:36:29.935521,NA,NA,NA,"can’t see legs clearly. 35, 12, 3, 20, 33",GX361860-00.03.24.146
1743604609.91503,2025-04-02 15:36:49.915033,white,NA,NA,NA,GX361860-00.03.53.158
1743604637.19431,2025-04-02 15:37:17.194305,NA,NA,NA,Can’t see legs,GX361860-00.04.13.720
1743604650.50266,2025-04-02 15:37:30.502661,NA,NA,9,NA,GX361860-00.04.29.002
1743604705.98735,2025-04-02 15:38:25.987345,NA,turquoise/blue,NA,? 8 or 34,GX361860-00.06.09.119
1743604706.0627,2025-04-02 15:38:26.062703,NA,NA,NA,NA,NA
1743604752.66045,2025-04-02 15:39:12.660453,NA,NA,NA,NA,NA
1743604752.70452,2025-04-02 15:39:12.704516,NA,NA,NA,NA,NA
1743604755.85988,2025-04-02 15:39:15.859883,NA,NA,NA,NA,NA
1743604919.78306,2025-04-02 15:41:59.78306,NA,NA,NA,"can’t see left leg clearly 33, 12, 14, 3",GX371860-00.00.23.240
1743608883.36282,2025-04-02 16:48:03.362816,NA,NA,NA,can’t see legs – top left,GX441860-00.06.35.395
1743609549.45305,2025-04-02 16:59:09.453052,NA,NA,NA,Can’t see legs clearly ,GX461860-00.00.38.205
1743692940.44101,2025-04-03 16:09:00.44101,NA,NA,NA,NA,NA
1743693386.92564,2025-04-03 16:16:26.925644,NA,NA,NA,NA,NA
1743693446.77054,2025-04-03 16:17:26.770543,NA,NA,NA,NA,NA
1743693657.13369,2025-04-03 16:20:57.133687,NA,NA,NA,NA,NA
1743693699.98007,2025-04-03 16:21:39.980071,NA,NA,NA,NA,NA
1743693822.66469,2025-04-03 16:23:42.664694,NA,NA,NA,NA,NA
1743694087.07452,2025-04-03 16:28:07.074524,NA,NA,NA,NA,NA
1743694260.48658,2025-04-03 16:31:00.486581,NA,NA,NA,NA,NA
1743694514.27298,2025-04-03 16:35:14.272978,NA,NA,NA,NA,NA
1743694648.40816,2025-04-03 16:37:28.40816,NA,NA,NA,NA,NA
1743694833.69999,2025-04-03 16:40:33.699993,NA,NA,NA,NA,NA
1743695584.20995,2025-04-03 16:53:04.209951,NA,NA,NA,NA,NA
1743757239.00236,2025-04-04 10:00:39.002363,NA,blue,2,NA,GX061862-00.02.07.427
1743757459.52149,2025-04-04 10:04:19.521486,NA,lilac,1,NA,GX061862-00.05.50.100
1743758626.83786,2025-04-04 10:23:46.837862,brown,turquoise,59,NA,GX081862-00.08.03.525
1743759372.50075,2025-04-04 10:36:12.500752,NA,blue,2,NA,GX101862-00.03.31.803
1743759373.2107,2025-04-04 10:36:13.210696,lilac,lime,22,NA,GX101862-00.03.33.230
1743759816.01661,2025-04-04 10:43:36.016612,NA,light pink,37,?17,GX111862-00.02.18.905
1743759976.54338,2025-04-04 10:46:16.54338,lilac,NA,28,NA,GX111862-00.05.03.920
1743761030.34771,2025-04-04 11:03:50.347709,brown,NA,33,NA,GX131862-00.05.31.006
1743761033.17815,2025-04-04 11:03:53.178154,brown,turquoise,59,NA,GX131862-00.05.33.158
1743761638.10937,2025-04-04 11:13:58.109374,turquoise,lime,40,NA,GX141862-00.07.05.934
1743761771.56057,2025-04-04 11:16:11.560572,lilac,NA,28,NA,GX151862-00.00.48.448
1743763375.3622,2025-04-04 11:42:55.362195,NA,lilac,1,NA,GX181862-00.01.55.816
1743763581.30722,2025-04-04 11:46:21.307223,lime,blue,52,NA,GX181862-00.06.17.394
1743764068.96712,2025-04-04 11:54:28.967116,NA,brown,35,NA,GX191862-00.04.44.551
1743764891.66479,2025-04-04 12:08:11.664793,brown,lime,39,NA,GX211862-00.01.07.534
1743764893.00695,2025-04-04 12:08:13.006947,NA,NA,NA,NA,NA
1743765553.79008,2025-04-04 12:19:13.790078,NA,light pink,37,17?,GX221862-00.03.28.825
1744017217.98806,2025-04-07 10:13:37.988063,NA,blue,2,NA,GX011863-00.01.11.029
1744017440.64453,2025-04-07 10:17:20.644531,lilac,NA,28,NA,GX011863-00.05.15.457
1744017457.36883,2025-04-07 10:17:37.368829,NA,blue,2,NA,GX011863-00.05.19.786
1744017730.66274,2025-04-07 10:22:10.662743,purple,turquoise,,NA,GX021863-00.01.59.336
1744017823.56542,2025-04-07 10:23:43.565419,lilac,NA,28,??,GX021863-00.03.36.817
1744017960.52914,2025-04-07 10:26:00.529136,NA,NA,NA,5.07,GX021863-00.05.07.574
1744018023.93458,2025-04-07 10:27:03.934585,white,NA,25,5.08 or 6.57,GX021863-00.05.08.425 or (GX021863-00.06.57.183 - lilac / lime - male - 22)
1744018043.17223,2025-04-07 10:27:23.172232,NA,NA,NA,5.52 or 7.15,GX021863-00.05.52.077 or (GX021863-00.07.15.010 - NA / blue - male - 2)
1744018143.60261,2025-04-07 10:29:03.602615,NA,NA,NA,four birds walking though,NA
1744018181.42757,2025-04-07 10:29:41.427567,NA,NA,NA,four birds walking though,NA
1744018439.81706,2025-04-07 10:33:59.817061,brown,NA,33,5.19,GX031863-00.05.19.744 followed by GX031863-00.05.21.963 - male but can’t identify) and then (GX031863-00.05.40.182 - brown / lime – 33)
1744018812.51001,2025-04-07 10:40:12.510011,blue,NA,27,left leg only visible but has brown checks,GX041863-00.03.00.305
1744018813.87027,2025-04-07 10:40:13.870272,pink,lime,42,check order that this and bird before exited,GX041863-00.02.59.112
1744018898.80902,2025-04-07 10:41:38.809025,NA,pink?,15?,not clear,GX041863-00.04.27.000
1744018918.73211,2025-04-07 10:41:58.732113,NA,lilac,1,NA,GX041863-00.04.46.945
1744019080.08427,2025-04-07 10:44:40.084274,NA,pink,17 or 37,only one leg showing and two birds go through at once,GX041863-00.07.23.918
1744021461.28213,2025-04-07 11:24:21.282127,NA,purple,31,NA,GX091863-00.04.26.958
1744021933.96778,2025-04-07 11:32:13.967779,NA,blue,Possibly 2,only one foot showing,GX101863-00.02.43.488
1744022106.62671,2025-04-07 11:35:06.626709,NA,NA,NA,unclear,GX101863-00.04.54.169 or could be GX101863-00.06.26.786 left leg lilac (28) but cant see right leg 
1744022510.06822,2025-04-07 11:41:50.068224,NA,NA,NA,??,GX111863-00.00.54.196
1744022517.397,2025-04-07 11:41:57.397001,white,NA,9 or 25,??,GX111863-00.01.02.829
1744023911.50866,2025-04-07 12:05:11.508658,NA,NA,NA,??,GX141863-00.02.32.602
1744023938.14555,2025-04-07 12:05:38.145548,NA,NA,NA,??,GX141863-00.02.58.620
1744024354.18467,2025-04-07 12:12:34.184669,lilac,lime,22,NA,GX151863-00.00.19.244
1744024547.15197,2025-04-07 12:15:47.151965,white,NA,25,other birds went through at the same time,GX151863-00.03.23.895
1744025145.52681,2025-04-07 12:25:45.526805,lilac,lime,22,NA,GX161863-00.05.58.683
1744025184.38126,2025-04-07 12:26:24.381261,NA,NA,31,NA,GX161863-00.06.42.444
1744026251.93,2025-04-07 12:44:11.929995,green,black,19,NA,GX181863-00.07.24.953
1744027099.18987,2025-04-07 12:58:19.189866,NA,pink,male,??,GX201863-00.04.25.290
1744027533.11626,2025-04-07 13:05:33.116261,turquoise,lime,40,NA,GX211863-00.02.28.023
1744028081.95434,2025-04-07 13:14:41.954345,brown,turquoise,59,,GX221863-00.03.35.490
1744028111.63019,2025-04-07 13:15:11.630188,brown,turquoise,59,,GX221863-00.03.42.492
1744028544.3888,2025-04-07 13:22:24.388796,NA,pink,17,37 light pink,GX231863-00.02.44.464
1744032669.47943,2025-04-07 14:31:09.479433,NA,NA,NA,NA,GX311863-00.03.19.766
1744032677.15531,2025-04-07 14:31:17.155314,NA,NA,NA,NA,GX311863-00.03.25.021
1744099812.49652,2025-04-08 09:10:12.49652,NA,blue,2,NA,GX011864-00.04.30.003
1744100251.94764,2025-04-08 09:17:31.947644,NA,NA,NA,NA,GX021864-00.02.47.793
1744100498.41737,2025-04-08 09:21:38.417373,turquoise,NA,13,NA,GX021864-00.07.17.821
1744101148.56038,2025-04-08 09:32:28.560376,purple,NA,36,NA,GX041864-00.00.58.700
1744101332.22713,2025-04-08 09:35:32.227127,lilac,NA,28,NA,GX041864-00.04.12.469
1744101478.78381,2025-04-08 09:37:58.783809,brown,turquoise,59,NA,GX041864-00.06.36.988
1744101633.77425,2025-04-08 09:40:33.774252,NA,purple, ,18 or 31,GX051864-00.00.40.307
1744101804.61296,2025-04-08 09:43:24.612963,brown,turquoise,59,NA,GX051864-00.02.12.683
1744101846.89564,2025-04-08 09:44:06.895637,NA,NA,NA,NA,GX051864-00.03.32.279
1744101984.52133,2025-04-08 09:46:24.521326,lilac,lime,22,NA,GX051864-00.03.46.134 and GX051864-00.03.46.151
1744102187.06507,2025-04-08 09:49:47.065074,lime,blue,52,,GX061864-00.01.22.899
1744102292.04437,2025-04-08 09:51:32.044374,NA,NA,NA,NA,GX061864-00.03.06.903
1744102303.9389,2025-04-08 09:51:43.938899,NA,grey,NA,can’t see left leg,GX061864-00.03.15.404
1744102333.23468,2025-04-08 09:52:13.234681,NA,,2 or 1,two birds followed each other,GX061864-00.03.47.661 or GX061864-00.03.48.987
1744102572.18043,2025-04-08 09:56:12.180434,lilac,lime,22,NA,GX071864-00.00.40.090
1744102937.97628,2025-04-08 10:02:17.976275,NA,brown,35,multiple birds,GX071864-00.05.10.352
1744103002.73151,2025-04-08 10:03:22.731505,NA,NA,NA,multiple birds,NA
1744103270.10095,2025-04-08 10:07:50.100951,brown,NA,33,Can’t see right leg,GX081864-00.02.16.253
1744103404.00659,2025-04-08 10:10:04.00659,NA,grey,7,NA,GX081864-00.04.32.364
1744103412.75947,2025-04-08 10:10:12.759466,NA,black black,10,NA,GX081864-00.04.38.270
1744103592.79526,2025-04-08 10:13:12.795264,NA,NA,NA,no ring?,GX081864-00.07.24.144
1744103603.73514,2025-04-08 10:13:23.735138,NA,NA,NA,NA,GX081864-00.07.37.557
1744103632.7077,2025-04-08 10:13:52.707702,green,green,29,NA,GX081864-00.08.22.894
1744103741.46257,2025-04-08 10:15:41.462569,green,green,29,NA,GX091864-00.01.39.107
1744105178.96085,2025-04-08 10:39:38.960852,NA,NA,22 or 6?,end of one video - beginning of next,GX111864-00.08.31.653 or GX121864-00.00.19.394
1744105406.8746,2025-04-08 10:43:26.874597,NA,lilac,1,,GX121864-00.03.47.043
1744105465.97954,2025-04-08 10:44:25.979538,brown,NA,NA,Can’t see right ring but Brown left ring visible is 33,GX121864-00.04.44.643
1744105466.47415,2025-04-08 10:44:26.474151,lime,blue,52,NA,GX121864-00.04.46.628 and GX121864-00.04.46.636d 
1744105512.7112,2025-04-08 10:45:12.711198,NA,NA,NA,can’t see left ring - right is possibly brown - bird is male,GX121864-00.05.32.849
1744105569.54801,2025-04-08 10:46:09.54801,lilac,lime,22,NA,GX121864-00.07.04.799
1744105605.64704,2025-04-08 10:46:45.647042,NA,lilac,1,can’t see left leg but right ring lilac is 1,GX121864-00.07.06.251
1744105607.68396,2025-04-08 10:46:47.683958,NA,NA,NA,several birds went through - none had visible rings,
1744105659.45711,2025-04-08 10:47:39.457107,NA,turquoise,2,NA,GX121864-00.08.18.039
1744105680.21289,2025-04-08 10:48:00.212888,navy,navy,45,NA,GX121864-00.08.18.757
1744105683.1584,2025-04-08 10:48:03.158402,lilac,lime,22,NA,GX121864-00.08.19.207
1744105815.98789,2025-04-08 10:50:15.987892,purple,orange,53,NA,GX131864-00.01.42.444
1744105882.39237,2025-04-08 10:51:22.39237,lilac,lime,22,blurry photo – check ring colours,GX131864-00.03.10.065
1744106431.89962,2025-04-08 11:00:31.899618,NA,NA,NA,NA,12+ birds - first approx 2.50 - next from 3.35 onwards
1744106461.21848,2025-04-08 11:01:01.218485,NA,NA,NA,NA,ditto
1744106477.10634,2025-04-08 11:01:17.106339,NA,NA,NA,NA,ditto
1744106503.8155,2025-04-08 11:01:43.815498,NA,NA,NA,NA,ditto
1744106511.99868,2025-04-08 11:01:51.998676,NA,NA,NA,NA,ditto
1744106531.68685,2025-04-08 11:02:11.686846,NA,NA,NA,NA,ditto
1744106546.78351,2025-04-08 11:02:26.783508,NA,NA,NA,NA,ditto
