entrance_epoch_time,exit_epoch_time,trial_id,exit_gate_id,datetime,bird_id,bg1,bg2,fg1,fg2,bird_name,phenotype,sex,mass_g,age_days
1743499287.6619902,1743499288.0427845,3,left,2025-04-01T09:21:27Z,8,light,dark,black,black,Right,cfw,female,16.7,1390
1743499552.1203794,1743499552.2706213,3,left,2025-04-01T09:25:52Z,22,light,dark,black,black,Zebra,wt,male,19.1,1023
1743499847.4659538,1743499847.6831293,4,left,2025-04-01T09:30:47Z,50,dark,light,black,black,Skunk,wt,male,24.7,649
1743517266.2556648,1743517266.4195256,7,left,2025-04-01T14:21:06Z,35,light,light,black,white,NA,cfw,female,16.7,684
1743517269.9855952,1743517270.1844926,7,left,2025-04-01T14:21:09Z,14,light,light,black,white,Badger,bc,male,20.3,1081
1743519754.3861687,1743519754.531387,8,left,2025-04-01T15:02:34Z,33,dark,dark,black,white,Moth-Man II,pied,male,19.3,685
1743519873.4049237,1743519873.9305556,8,right,2025-04-01T15:04:33Z,28,dark,dark,black,white,Colobus,wt,male,17,988
1743519886.6108809,1743519887.4315033,8,left,2025-04-01T15:04:46Z,17,dark,dark,black,white,Dalmatian,fawn,female,18.4,1033
1743586808.6402996,1743586808.7864518,3,left,2025-04-02T09:40:08Z,28,light,dark,black,black,Colobus,wt,male,17,988
1743586991.7932632,1743586991.9431455,4,left,2025-04-02T09:43:11Z,28,dark,light,black,black,Colobus,wt,male,17,988
1743588202.266814,1743588202.8682358,3,left,2025-04-02T10:03:22Z,NA,light,dark,black,black,NA,NA,NA,NA,NA
1743588206.593859,1743588207.125765,3,left,2025-04-02T10:03:26Z,NA,light,dark,black,black,NA,NA,NA,NA,NA
1743589573.1913283,1743589573.3296974,8,left,2025-04-02T10:26:13Z,28,dark,dark,black,white,Colobus,wt,male,17,988
1743589676.1979294,1743589676.4455392,7,left,2025-04-02T10:27:56Z,24,light,light,black,white,Kingsnakes,wt,male,20.7,1003
1743589691.7106638,1743589692.0982175,8,left,2025-04-02T10:28:11Z,53,dark,dark,black,white,Porpose,wt,female,NA,639
1743590134.560346,1743590134.6888125,7,left,2025-04-02T10:35:34Z,28,light,light,black,white,Colobus,wt,male,17,988
1743590349.1281872,1743590349.801618,8,left,2025-04-02T10:39:09Z,40,dark,dark,black,white,Cottonmouth,wt,male,18.3,664
1743591492.6219106,1743591492.8687143,1,left,2025-04-02T10:58:12Z,2,light,dark,white,white,Sheep,bc,male,20.8,2496
1743591614.7165155,1743591615.732623,1,right,2025-04-02T11:00:14Z,52,light,dark,white,white,Trumpet,cfw,male,20.9,645
1743591747.329422,1743591747.6992536,2,left,2025-04-02T11:02:27Z,NA,dark,light,white,white,NA,NA,NA,NA,NA
1743591840.8109026,1743591840.9914217,2,left,2025-04-02T11:04:00Z,2,dark,light,white,white,Sheep,bc,male,20.8,2496
1743591845.120005,1743591845.2480774,1,left,2025-04-02T11:04:05Z,NA,light,dark,white,white,NA,NA,NA,NA,NA
1743592004.1403828,1743592004.2932673,2,left,2025-04-02T11:06:44Z,14,dark,light,white,white,Badger,bc,male,20.3,1081
1743592935.669078,1743592935.880367,1,left,2025-04-02T11:22:15Z,41,light,dark,white,white,Koala,wt,female,15.8,664
1743593048.679023,1743593049.9261365,1,left,2025-04-02T11:24:08Z,40,light,dark,white,white,Cottonmouth,wt,male,18.3,664
1743593156.018567,1743593156.1420467,2,left,2025-04-02T11:25:56Z,28,dark,light,white,white,Colobus,wt,male,17,988
1743593696.5802608,1743593697.130323,1,left,2025-04-02T11:34:56Z,25,light,dark,white,white,PiedBat,wt,male,18.1,996
1743593701.1697135,1743593702.2497373,2,left,2025-04-02T11:35:01Z,40,dark,light,white,white,Cottonmouth,wt,male,18.3,664
1743594196.3349233,1743594196.5042138,1,left,2025-04-02T11:43:16Z,1,light,dark,white,white,Cow,wt,male,18.4,2506
1743594199.411917,1743594199.565328,2,left,2025-04-02T11:43:19Z,NA,dark,light,white,white,NA,cfw,female,NA,NA
1743594230.3001013,1743594231.136041,1,right,2025-04-02T11:43:50Z,10,light,dark,white,white,Penguin,NA,male,19.8,1296
1743594430.460831,1743594430.6579983,1,left,2025-04-02T11:47:10Z,49,light,dark,white,white,Huskey,fawn,female,17.3,655
1743594809.5940173,1743594809.810884,2,left,2025-04-02T11:53:29Z,33,dark,light,white,white,Moth-Man II,pied,male,19.3,685
1743594810.1766386,1743594810.3314393,1,left,2025-04-02T11:53:30Z,4,light,dark,white,white,Ptarmigan,cfw,female,18.1,1879
1743595706.6257608,1743595706.8206422,7,left,2025-04-02T12:08:26Z,2,light,light,black,white,Sheep,bc,male,20.8,2496
1743595818.1813023,1743595818.6425066,7,left,2025-04-02T12:10:18Z,34,light,light,black,white,Orca,wt,female,17.8,684
1743595958.770008,1743595959.0083506,7,left,2025-04-02T12:12:38Z,22,light,light,black,white,Zebra,wt,male,19.1,1023
1743596269.194181,1743596269.4422586,8,left,2025-04-02T12:17:49Z,35,dark,dark,black,white,NA,cfw,female,16.7,684
1743596329.195641,1743596329.3267152,7,right,2025-04-02T12:18:49Z,NA,light,light,black,white,NA,NA,NA,NA,NA
1743596504.0382187,1743596504.3123734,7,left,2025-04-02T12:21:44Z,34,light,light,black,white,Orca,wt,female,17.8,684
1743596536.4616487,1743596536.6938572,8,left,2025-04-02T12:22:16Z,50,dark,dark,black,white,Skunk,wt,male,24.7,649
1743597011.221753,1743597012.1326425,7,left,2025-04-02T12:30:11Z,50,light,light,black,white,Skunk,wt,male,24.7,649
1743597332.9850194,1743597333.140699,4,left,2025-04-02T12:35:32Z,58,dark,light,black,black,NA,cfw,male,NA,623
1743597437.3635564,1743597437.570782,3,left,2025-04-02T12:37:17Z,40,light,dark,black,black,Cottonmouth,wt,male,18.3,664
1743598443.3177028,1743598443.4197457,4,left,2025-04-02T12:54:03Z,22,dark,light,black,black,Zebra,wt,male,19.1,1023
1743598708.1101773,1743598708.1231575,3,left,2025-04-02T12:58:28Z,NA,light,dark,black,black,NA,NA,NA,NA,NA
1743599039.2866316,1743599039.446514,4,left,2025-04-02T13:03:59Z,28,dark,light,black,black,Colobus,wt,male,17,988
1743599188.7536526,1743599189.2180953,3,right,2025-04-02T13:06:28Z,37,light,dark,black,black,Anthony Eden,cfw,female,16.4,676
1743599277.9580736,1743599278.1204283,1,left,2025-04-02T13:07:57Z,22,light,dark,white,white,Zebra,wt,male,19.1,1023
